Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial,prob
2,0,3,1.25,2,2,232,356,0.5
0,0,0,2.28561481172,0,0,.,355,0
2,3,3,1.25,1,2,131,354,0.5
0,0,0,2.87257465269,0,0,.,353,0
1,1,1,1.25,0,1,100,352,0.5
0,0,0,2.32488164264,0,0,.,351,0
2,0,3,1.25,1,2,131,350,0.5
0,0,0,2.00384516834,0,0,.,349,0
2,3,1,1.25,2,2,221,348,0.5
0,0,0,2.03173600468,0,0,.,347,0
1,1,3,1.25,0,3,003,346,0.5
0,0,0,2.6925292566,0,0,.,345,0
2,0,2,1.25,1,3,112,344,0.5
0,0,0,2.0202497756,0,0,.,343,0
2,3,3,1.25,2,1,322,342,0.5
0,0,0,2.7152612899,0,0,.,341,0
1,1,1,1.25,0,1,100,340,0.5
0,0,0,2.17040731604,0,0,.,339,0
2,3,1,1.25,2,2,212,338,0.5
0,0,0,2.17512331642,0,0,.,337,0
1,1,3,1.25,0,3,003,336,0.5
0,0,0,2.72264537793,0,0,.,335,0
2,0,3,1.25,2,2,232,334,0.5
0,0,0,2.15011914776,0,0,.,333,0
2,3,1,1.25,3,2,313,332,0.5
0,0,0,2.19662292287,0,0,.,331,0
1,2,1,1.25,0,1,100,330,0.5
0,0,0,2.86626193742,0,0,.,329,0
1,1,2,1.25,0,2,020,328,0.5
0,0,0,2.53824442417,0,0,.,327,0
2,3,1,1.25,3,2,313,326,0.5
0,0,0,2.76178506319,0,0,.,325,0
1,2,2,1.25,0,2,020,324,0.5
0,0,0,2.5523152765,0,0,.,323,0
1,1,2,1.25,0,2,020,322,0.5
0,0,0,2.71502048069,0,0,.,321,0
2,3,1,1.25,2,2,221,320,0.5
0,0,0,2.91796047924,0,0,.,319,0
1,2,2,1.25,0,2,020,318,0.5
0,0,0,2.52614558211,0,0,.,317,0
1,1,2,1.25,0,2,020,316,0.5
0,0,0,2.48613389132,0,0,.,315,0
2,3,3,1.25,1,1,311,314,0.5
0,0,0,2.28721596037,0,0,.,313,0
1,1,3,1.25,0,3,003,312,0.5
0,0,0,2.73419175174,0,0,.,311,0
2,0,2,1.25,3,1,233,310,0.5
0,0,0,2.12519535989,0,0,.,309,0
2,3,2,1.25,1,3,112,308,0.5
0,0,0,2.87021579051,0,0,.,307,0
1,1,3,1.25,0,3,003,306,0.5
0,0,0,2.31489599511,0,0,.,305,0
2,3,2,1.25,1,1,211,304,0.5
0,0,0,2.73225735052,0,0,.,303,0
1,1,2,1.25,0,2,020,302,0.5
0,0,0,2.48441080311,0,0,.,301,0
2,3,1,1.25,2,2,212,300,0.5
0,0,0,2.42507887798,0,0,.,299,0
1,2,3,1.25,0,3,003,298,0.5
0,0,0,2.22144963296,0,0,.,297,0
1,1,2,1.25,0,2,020,296,0.5
0,0,0,2.60548155046,0,0,.,295,0
2,3,2,1.25,1,1,211,294,0.5
0,0,0,2.2669283181,0,0,.,293,0
1,2,3,1.25,0,3,003,292,0.5
0,0,0,2.95733564679,0,0,.,291,0
1,1,3,1.25,0,3,003,290,0.5
0,0,0,2.24544827464,0,0,.,289,0
1,2,3,1.25,0,3,003,288,0.5
0,0,0,2.33653235311,0,0,.,287,0
1,1,2,1.25,0,2,020,286,0.5
0,0,0,2.56710418455,0,0,.,285,0
2,3,1,1.25,2,2,212,284,0.5
0,0,0,2.37737805461,0,0,.,283,0
1,2,2,1.25,0,2,020,282,0.5
0,0,0,2.59803905887,0,0,.,281,0
1,1,2,1.25,0,2,020,280,0.5
0,0,0,2.43990225863,0,0,.,279,0
2,0,1,1.25,2,2,212,278,0.5
0,0,0,2.28789561057,0,0,.,277,0
2,3,3,1.25,2,1,322,276,0.5
0,0,0,2.66334615153,0,0,.,275,0
1,1,3,1.25,0,3,003,274,0.5
0,0,0,2.2697908327,0,0,.,273,0
2,3,2,1.25,3,3,332,272,0.5
0,0,0,2.21214728604,0,0,.,271,0
1,1,3,1.25,0,3,003,270,0.5
0,0,0,2.32529899166,0,0,.,269,0
2,3,3,1.25,1,1,311,268,0.5
0,0,0,2.3351960154,0,0,.,267,0
1,1,1,1.25,0,1,100,266,0.5
0,0,0,2.48008392841,0,0,.,265,0
2,0,2,1.25,1,1,211,264,0.5
0,0,0,2.40133121203,0,0,.,263,0
2,3,1,1.25,3,3,331,262,0.5
0,0,0,2.57497540155,0,0,.,261,0
1,2,2,1.25,0,2,020,260,0.5
0,0,0,2.37802629561,0,0,.,259,0
1,1,2,1.25,0,2,020,258,0.5
0,0,0,2.0719922762,0,0,.,257,0
2,0,3,1.25,2,1,322,256,0.5
0,0,0,2.38181309195,0,0,.,255,0
2,3,2,1.25,1,3,112,254,0.5
0,0,0,2.7809631265,0,0,.,253,0
1,1,1,1.25,0,1,100,252,0.5
0,0,0,2.24660578421,0,0,.,251,0
2,0,2,1.25,1,1,211,250,0.5
0,0,0,2.65838651904,0,0,.,249,0
2,3,3,1.25,1,2,131,248,0.5
0,0,0,2.95737163191,0,0,.,247,0
1,2,1,1.25,0,1,100,246,0.5
0,0,0,2.53817924181,0,0,.,245,0
1,1,1,1.25,0,1,100,244,0.5
0,0,0,2.14408836783,0,0,.,243,0
2,3,2,1.25,3,1,233,242,0.5
0,0,0,2.28544205771,0,0,.,241,0
